"External ID","Nome","Categoria","Costo","Prezzo di Vendita","Quantità in possesso","Quantità prevista","Riferimento interno","Sequenza","Tipo Prodotto","Unità di misura"
"__export__.product_template_2081_2f3a6289","10ohm, Resistor, 5%, 50W, WH50 10R JI, Axial","__export__.product_category_3","0.0","1.0","0.0","0.0","Armadio","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_2788_29d4e6f5","10ohm, Resistor, THD","__export__.product_category_3","0.0","1.0","0.0","0.0","R-1-2","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_2889_b973873a","10uF, Capacitor, 63V, THD","__export__.product_category_3","0.0","1.0","0.0","0.0","Q-10-5","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_3254_71368908","10uF, Capacitor, Tantalum, 25V, T491D106K025AT, KEMET, 2917, SMD","__export__.product_category_3","0.0","1.0","0.0","0.0","L-6-1","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_911","10uF, Capacitor, Tantalum, C3216X5R1C106M, TDK, 16V, 1206, SMD","__export__.product_category_3","0.0","1.0","0.0","0.0","","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_908","10uF, Capacitor, Tantalum, TPSP106M010R2000, AVX, 10V, 0805, SMD","__export__.product_category_3","0.0","1.0","0.0","0.0","S-10-4","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_905","10uF, Capacitor, X5R, 16V, 0805, SMD","__export__.product_category_3","0.0","1.0","0.0","0.0","","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_2346_5d636423","10uF, Capacitor, X5R, 25V, 0603, SMD","__export__.product_category_3","0.0","1.0","0.0","0.0","P-3-5","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_3296_3a2426d0","10uF, Capacitor, X5R, 25V, 0805, SMD","__export__.product_category_3","0.0","1.0","0.0","0.0","P-3-5","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_1778_d93e3367","10uF, Capacitor, X5R, 25V, 1206, SMD","__export__.product_category_3","0.0","1.0","0.0","0.0","","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_2874_06470924","10uH, Inductor, 1213, SMD","__export__.product_category_3","0.0","1.0","0.0","0.0","Q-8-1","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_855","10uH, Inductor, ELJPA100KF, Idc:240mA, 1210, SMD","__export__.product_category_3","0.0","1.0","0.0","0.0","M-7-5","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_856","10uH, Inductor, LB2012T100KR, Idc:120mA, SMD","__export__.product_category_3","0.0","1.0","0.0","0.0","","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_2743_2530d8cb","10uH, Inductor, MLZ1608E100MT, 40mA, 0603, SMD","__export__.product_category_3","0.0","1.0","0.0","0.0","M-8-4","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_857","10uH, Inductor, MLZ1608N100L, 300mA, 0603, SMD","__export__.product_category_17","0.074","1.0","'-500.0","'-500.0","M-8-5","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_2741_260d2cba","10uH, Inductor, NLCV32T-100K-EF, Idc:450 mA, 1210, SMD -$","__export__.product_category_3","0.0","1.0","0.0","0.0","M-8-2","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_858","10uH, Inductor, NRG4026T-100M, 1.3A, SMD -$","__export__.product_category_3","0.0","1.0","0.0","0.0","O-4-3","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_1690","10uH, Inductor, Power, 74408942100, WE, 1,38A, 4.80x4.80mm, SMD -$","__export__.product_category_3","0.0","1.0","0.0","0.0","N-6-2","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_854","10uH, Inductor, Power, 74408942100, WE, 1.38A, 4828, SMD -$","__export__.product_category_17","0.6799999999999999","1.0","'-98.0","'-98.0","M-7-1","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_56","10uH, Inductor, Power, DO3340P-103MLB, CoilCraft, 3.5A, SMD","__export__.product_category_3","1.3499999999999999","1.0","0.0","0.0","N-7-1","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_2106_54f1197d","10uH, Inductor, Power, DO3340P-103MLB, CoilCraft, 3.5A, SMD","__export__.product_category_25_3bd84a2e","1.44","1.44","0.0","0.0","Prod","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_3674_d0d31506","10uH, Inductor, Power, Shielded, 74437334100, WE, 1.8A, 5.2x6mm, SMD","__export__.product_category_3","0.0","1.0","0.0","0.0","Q-8-1","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_2458_727d576d","10uH, Inductor, Power, Shielded, 74437349100, WE, 8Asat, 3.2Adc, 7050, SMD","__export__.product_category_3","0.0","1.0","0.0","0.0","Q-8-1","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_1991_f5381851","10uH, Inductor, Power, Shielded, 74477110, WE, 5A, SMD","__export__.product_category_3","0.0","1.0","0.0","0.0","Q-8-1","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_2240_598c5644","10uH, Inductor, Power, Shielded, 7447714100, WE, 4.3A, SMD","__export__.product_category_9","0.0","1.0","0.0","0.0","Prod","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_2201_6e2a444e","10uH, Inductor, Power, Shielded, 7447714100, WE, 4.3A, SMD","__export__.product_category_3","0.0","1.0","0.0","0.0","Q-8-1","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_859","10uH, Inductor, VLC5020T-100M, 1.3A, SMD -$","__export__.product_category_3","0.0","1.0","0.0","0.0","O-1-2","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_3976_f616f9fa","1100.0001, Cap Ceramic, 0,1uF, 0603, 25V, X7R, 10% SMD (CL10B104KA8NNNC SAMSUNGEM)","__export__.product_category_25_3bd84a2e","0.0","0.0","4000.0","4000.0","Prod","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_3977_72f7b6a2","1100.0002, Cap Ceramic, 10uF, 0805, 6.3V, X5R, 10%, SMD (CL21A106KQFNNNE SAMSUNGEM)","__export__.product_category_25_3bd84a2e","0.01","0.01","2000.0","2000.0","Prod","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_3986_3f1fe8f1","1100.0003, Cap Ceramic, 0.01uF, 0402, 16V, X7R, 10%, SMD (CL05B103KO5NNNC SAMSUNGEM)","__export__.product_category_25_3bd84a2e","0.0","0.0","10000.0","10000.0","Prod","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_3987_16ddd81d","1100.0004, Cap Ceramic, 0.1uF, 0402, 10V, X7R, 10%, SMD ( GRM155R71A104KA01D Murata Electronics)","__export__.product_category_25_3bd84a2e","0.0","0.0","10000.0","10000.0","Prod","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_3994_bcb0ef7a","1100.0005, Cap Ceramic, 22pF, 0402, 16V, C0G/CP0, 1%, SMD (MCMT15N220F160CT MULTICOMP PRO; )","__export__.product_category_25_3bd84a2e","0.13","0.0","150.0","300.0","Prod","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_3998_b8478feb","1100.0006, Cap Ceramic, 1000pF, 1nF, 0603, 16V, X7R, 10%, SMD (C0603C102K4RACTU KEMET)","__export__.product_category_25_3bd84a2e","0.026199999999999998","0.0","500.0","1000.0","Prod","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_3999_faae5005","1100.0007, Cap Ceramic, 4,7uF, 0402, 6,3V, X5R, 10%, SMD (CC0402KRX5R5BB475 YAGEO)","__export__.product_category_25_3bd84a2e","0.0","0.0","150.0","300.0","Prod","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_4007_7a868a86","1100.0008, Cap Ceramic, 220nF, 0,22uF, 0603, 25V, X7R, 10%, SMD (C1608X7R1E224K080AC)","__export__.product_category_25_3bd84a2e","0.053","1.0","500.0","500.0","","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_4008_dfc8fb66","1100.0009, Cap Ceramic, 2,2uF, 0805, 25V, X7R, 10%, SMD (TMK212B7225KGHT)","__export__.product_category_25_3bd84a2e","0.053","1.0","500.0","500.0","","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_4009_df61791d","1100.0010, Cap Ceramic, 10PF, 0402, 16V 1%, SMD (GRM1555C1H100FA01D)","__export__.product_category_25_3bd84a2e","0.01","1.0","500.0","500.0","","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_4010_63bdaa03","1100.0011, Cap Ceramic, 680pF, 0402, 16V, C0G, 1%, SMD (GCM1555C1H681FA16D)","__export__.product_category_25_3bd84a2e","0.028999999999999998","1.0","500.0","500.0","","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_4011_a399b4de","1100.0012, Cap Ceramic, 1000pF, 1nF, 0402, 16V, X7R, 10%, SMD (04023C102KAT2A)","__export__.product_category_25_3bd84a2e","0.016999999999999998","1.0","500.0","500.0","","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_4012_fc6375bb","1100.0013, Cap Ceramic, 2,2pF, 0402, 16V, C0G, 1%, SMD (--)","__export__.product_category_25_3bd84a2e","0.0","1.0","0.0","0.0","","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_4013_a6b33a39","1100.0014, Cap Ceramic, 56pF, 0402, 16V, C0G, 1%, SMD (---)","__export__.product_category_25_3bd84a2e","0.0","1.0","0.0","0.0","","1","Prodotto immagazzinabile","uom.product_uom_unit"
